# string-xref names: 0x<rva>|<qualified name>|tier|votes|<mangled>
0x002C5460|*>::LockFreeMapInterface::SetAt|T2|1|?SetAt@LockFreeMapInterface@?$LockFreeMap@PBDPAVKFModel@@@@QAA_NIPBDABQAVKFModel@@_N@Z
0x002C56C4|*>::LockFreeMapInterface::SetAt|T2|1|?SetAt@LockFreeMapInterface@?$LockFreeMap@PBDPAVLoadedFile@@@@QAA_NIPBDABQAVLoadedFile@@_N@Z
0x002C5B20|ObstacleTaskData::AddOperation|T2|1|?AddOperation@ObstacleTaskData@@QAA_NABV?$NiPointer@VObstacleData@@@@W4OBSTACLE_TASK_TYPE@@@Z
0x002C61B0|ObstacleTaskData::SortOperationsFunction|T2|1|?SortOperationsFunction@ObstacleTaskData@@SAHPBX0@Z
0x002CEB14|Pathing::BuildPath|T2|1|?BuildPath@Pathing@@SA_NPAVPathingRequest@@PAVPathingSolution@@@Z
0x002CEC40|Pathing::BuildPathToSafeStraightLine|T2|1|?BuildPathToSafeStraightLine@Pathing@@SA_NPAVPathingRequestSafeStraightLine@@PAVPathingSolution@@@Z
0x002CF340|Pathing::BuildTeleportDoorPath|T2|1|?BuildTeleportDoorPath@Pathing@@SA_NABVPathingLocation@@0PAVTeleportPath@@W4TELEPORT_DOOR_PATH_RESTRICTION@1@MPAVActorLockData@@W4DOOR_LOCK_DISPOSITION@1@@Z
0x002CF6A0|Pathing::CheckArc|T2|1|?CheckArc@Pathing@@SA_NPAVNavMesh@@GHAAUSphere@@UAngleSinCosArc@@PAUFastNavMeshEdgeLocation@@PAUFastNavMeshTriLocation@@PAUCheckLineOfSightFilter@1@@Z
0x002CFC9D|Pathing::ComputeApproxPathLengthFromInfoSearchResults|T2|1|?ComputeApproxPathLengthFromInfoSearchResults@Pathing@@SAMAAVPathingLocation@@0AAV?$BSSimpleArray@PBVNavMeshInfo@@$0EAA@@@AAV?$BSSimpleArray@PAVTESObjectREFR@@$0EAA@@@@Z
0x002D00A0|Pathing::ComputeApproximatePathingDistance|T2|1|?ComputeApproximatePathingDistance@Pathing@@SA_NAAVPathingLocation@@0PAVPathingAvoidNodeArray@@PAMPAV?$BSSimpleArray@UNavMeshSearchNode@@$0EAA@@@@Z
0x002D0420|Pathing::FindClosestPointOnNavmesh|T2|1|?FindClosestPointOnNavmesh@Pathing@@SA_NPAVTESWorldSpace@@PAVTESObjectCELL@@ABVNiPoint3@@PAV4@@Z
0x002D10AA|Pathing::FindFirstDoorToGoal|T2|1|?FindFirstDoorToGoal@Pathing@@SA_NAAVPathingLocation@@0AAVActorLockData@@AAPAVTESObjectREFR@@W4DOOR_LOCK_DISPOSITION@1@PAM@Z
0x002D2DD2|Pathing::FindSafeStraightLinePathPoint|T2|1|?FindSafeStraightLinePathPoint@Pathing@@SA_NPAVTESObjectREFR@@0MAAVNiPoint3@@@Z
0x002D5320|Pathing::GetNavMeshZForLocation|T2|1|?GetNavMeshZForLocation@Pathing@@SA_NAAVPathingLocation@@AAM@Z
0x002DCAA6|PathingLocation::PrintDebugText|T2|2|?PrintDebugText@PathingLocation@@QBAXPADH@Z
0x002E0D20|PathingRequest::PrintDebugText|T2|7|?PrintDebugText@PathingRequest@@UBAXPAVIDebugText@@@Z
0x002E0DEB|D3D::Disassembler::PrintYieldAndPredicateClean|T2|2|?PrintYieldAndPredicateClean@Disassembler@D3D@@AAAXHH_N@Z
0x002E0E80|XGRAPHICS::OutStream::PrintOpcode|T2|1|?PrintOpcode@OutStream@XGRAPHICS@@QAAXPBD@Z
0x002E0ED0|D3DXShader::CUAssembler::Token|T2|2|?Token@CUAssembler@D3DXShader@@IAAHXZ
0x002E0F20|XGRAPHICS::ShaderPDBBuilder::WriteVariableDebugInfo|T1|2|?WriteVariableDebugInfo@ShaderPDBBuilder@XGRAPHICS@@AAAXPAVStream@2@PAV?$FastVector@UVariableDebugInfo@XGRAPHICS@@@2@K@Z
0x002E11F0|PathingRequest::CreatePathingRequest|T2|1|?CreatePathingRequest@PathingRequest@@SAPAV1@W4PATHING_REQUEST_TYPE@@@Z
0x002E81C8|PathingTaskData::Setup|T2|1|?Setup@PathingTaskData@@QAAXABV?$NiPointer@VPathingRequest@@@@V?$NiPointer@VActorPathingMessageQueue@@@@@Z
0x002E93C0|PathManagerImpl::Resume|T2|1|?Resume@PathManagerImpl@@QAAXXZ
