# CommonLib-documented vtable methods: 0xRVA|Class::method
0x00572B00|TESObjectREFR::GetLookingAtLocation
0x00572B30|TESObjectREFR::GetMagicCaster
0x00572B60|TESObjectREFR::GetMagicTarget
0x00573150|TESObjectREFR::ShouldSaveAnimationOnSaving
0x00574920|TESObjectREFR::RemoveWeapon
0x00574A80|TESObjectREFR::GetFaceNodeSkinned
0x005750A0|TESObjectREFR::GetTemplateActorBase
0x00575330|TESObjectREFR::SetTemplateActorBase
0x00575380|TESObjectREFR::GetFaceNode
0x00575BB0|TESObjectREFR::ResetInventory
0x00575E30|TESObjectREFR::InitHavok
0x00575F30|TESObjectREFR::Unk_67
0x00576130|TESObjectREFR::ClampToGround
0x005762B0|TESObjectREFR::DetachHavok
0x00576330|TESObjectREFR::Release3DRelatedData
0x00576390|TESObjectREFR::Set3D
0x005763F0|TESObjectREFR::ShouldBackgroundClone
0x00576420|TESObjectREFR::Unk_6E
0x00576470|TESObjectREFR::Get3D1
0x00576680|TESObjectREFR::Get3D2
0x005768B0|TESObjectREFR::Is3rdPersonVisible
0x00578920|TESObjectREFR::GetBiped2
0x00578A80|TESObjectREFR::StopCurrentDialogue
0x00579160|TESObjectREFR::SetActorCause
0x00579220|TESObjectREFR::GetActorCause
0x0057A740|TESObjectREFR::AsProjectile
0x0057A770|TESObjectREFR::AsExplosion
0x0058E430|TESGrass::GetFitToSlope
0x005D43C0|BSFile::seek
0x00633260|Atmosphere::Unk_04
0x006335D0|Atmosphere::Update
0x0064F850|BSFaceGenKeyframeMultiple::IsValueValid
0x0064F900|BSFaceGenKeyframeMultiple::Allocate
0x00673400|DetectLifeEffect::CheckCustomSkillUseConditions
0x006828A0|BSTempEffect::Initialize
0x006828E0|BSTempEffect::Get3D
0x00682920|BSTempEffect::GetClearWhenCellIsUnloaded
0x00682990|BSTempEffect::SaveGame
0x00682A30|BSTempEffect::GetManagerHandlesSaveLoad
0x00682A80|BSTempEffect::GetType
0x0068A830|TESGrass::SetUniformScaling
0x006FE520|TESGrass::SetPositionRange
0x007CFD00|TESGrass::SetHeightRange
0x00802D90|DetectLifeEffect::Update
0x00802D90|InvisibilityEffect::Update
0x00802D90|NightEyeEffect::Update
0x00805670|InvisibilityEffect::FinishLoadGame
0x00805760|BoundItemEffect::Revert
0x008066D0|BoundItemEffect::LoadGame
0x008066D0|ScriptEffect::LoadGame
0x008066D0|ValueAndConditionsEffect::LoadGame
0x008067B0|DetectLifeEffect::ShouldDispelOnDeath
0x00806F00|bhkCharacterController::GetPositionImpl
0x008082C0|BoundItemEffect::ProcessEvent
0x00808680|BoundItemEffect::Start
0x008091A0|BoundItemEffect::CanFinish
0x00809A00|BoundItemEffect::Update
0x00809E60|BoundItemEffect::SaveGame
0x0080A2D0|BoundItemEffect::FinishLoadGame
0x0080C210|CureEffect::Start
0x0080C570|DarknessEffect::Start
0x0080DA00|DispelEffect::Start
0x0080E110|InvisibilityEffect::Start
0x0080E540|InvisibilityEffect::Revert
0x0080F2F0|ValueAndConditionsEffect::SaveGame
0x0080F470|LockEffect::Start
0x00825810|NightEyeEffect::Start
0x00826190|OpenEffect::Start
0x00827AC0|ScriptEffect::Start
0x00827C20|ScriptEffect::Update
0x00827D30|ScriptEffect::SaveGame
0x0082BBE0|DetectLifeEffect::GetAllowMultipleCastingSourceStacking
0x0082C490|DarknessEffect::Finish
0x0082C490|InvisibilityEffect::Finish
0x0082C490|NightEyeEffect::Finish
0x0082CA50|ValueModifierEffect::SetActorValue
0x0082D680|TESGrass::SetVertexLighting
0x0084E3A0|TESEnchantableForm::GetCastingType
0x0086A830|TESObjectREFR::Unk_68
0x0087D5E0|Actor::PotentiallyFixRagdollState
0x0087D600|Actor::DetachCharController
0x0087D630|Actor::GetAcrobatics
0x0087D6A0|Actor::ServePrisonTime
0x0087D6C0|Actor::GoToPrison
0x0087D7D0|Actor::SetCrimeGoldValue
0x0087D7F0|Actor::ModCrimeGoldValue
0x0087D810|Actor::RemoveCrimeGoldValue
0x0087D880|Actor::Unk_C4
0x0087EAC0|Actor::SetCannibal
0x0087F750|Actor::SetAvoidanceDisabled
0x0087F7A0|Actor::DrawWeaponMagicHands
0x0087F900|Actor::GetHeading
0x008815A0|Actor::OnItemEquipped
0x00888AC0|Actor::PutActorOnMountQuick
0x00888AF0|Actor::Update
0x00888B20|Actor::UpdateNoAI
0x00888B50|Actor::GetVampireFeed
0x008A6A00|Actor::UpdateNonRenderSafe
0x008B1070|Actor::Unk_A2
0x008B1910|Actor::InitiateVampireFeedPackage
0x008B2F90|Actor::Unk_B3
0x008BC750|Actor::PlayPickUpSound
0x008BD7B0|Actor::UpdateCharacterControllerSimulationSettings
0x008C1320|Actor::SetVampireFeed
0x008D0360|NiTimeController::ComputeScaledTime
0x008D0360|TESForm::LoadPartial
0x008D0360|TESObjectREFR::GetEditorLocation1
0x008D0360|bhkNiCollisionObject::Unk_2F
0x008D0370|BSMultiBoundShape::SetCenter
0x008D0370|ExtraSayTopicInfoOnceADay::GetType
0x008D0370|TESBoundObject::SetObjectVoiceType
0x008D0370|TESForm::GetOnLocalMap
0x008D0370|TESGrass::GetMinSlope
0x008D0370|TESObjectREFR::HasKeywordHelper
0x008D0370|bhkSerializable::GetWorld1
0x008D0370|bhkWorld::GetWorld1
0x008D0600|Explosion::Update
0x008D0600|NiCollisionObject::Unk_27
0x008D0600|TESForm::GetDangerous
0x008D0600|TESForm::IsHeadingMarker
0x008D0600|TESGrass::GetMaxSlope
0x008D0600|TESObjectREFR::GetFaceGenAnimationData
0x008D0600|bhkShape::Unk_35
0x008D8940|Actor::Unk_B4
0x009307D0|Actor::RemoveCharController
0x00930810|Actor::SetPosition
0x009315C0|Actor::GetCannibal
0x00931620|Actor::KillDying
0x00931F30|Actor::Resurrect
0x00931F80|Actor::GetCrimeGoldValue
0x00933D20|Explosion::Initialize
0x00978F30|bhkSerializable::RemoveFromCurrentWorld
0x009B7CC0|MissileProjectile::Unk_C2
0x009B7E40|MissileProjectile::Unk_C3
0x009CBB10|BSTempEffect::Detach
0x009D1B50|TESGrass::SetFitToSlope
0x00A29680|NiAVObject::UpdateWorldBound
0x00A29680|NiAccumulator::StartGroupingAlphas
0x00A29680|NiInterpolator::IsColorAValueSupported
0x00A29680|NiPSysModifier::Update
0x00A29680|NiParticlesData::RemoveParticle
0x00A29680|hkpBroadPhase::Defragment
0x00A29680|hkpConstraintOwner::CheckAccessRW
0x00A29680|hkpPhantom::Clone
0x00A2F8F0|NiInterpController::GetInterpolator
0x00A57020|NiInterpolator::Update1
0x00A57020|NiInterpolator::Update2
0x00A57020|NiInterpolator::Update3
0x00A57020|NiInterpolator::Update4
0x00A57030|NiInterpolator::IsTransformValueSupported
0x00A57050|NiInterpolator::GetActiveTimeRange
0x00A59CC0|NiAVObject::UpdateTransformAndBounds
0x00A59CF0|NiAVObject::OnVisible
0x00A59D80|NiAVObject::UpdateWorldData
0x00A59DB0|NiAVObject::PostAttachUpdate
0x00A59E20|NiAVObject::AttachProperty
0x00A59F90|NiAVObject::SetDefaultMaterialNeedsUpdateFlag
0x00A59FD0|NiAVObject::GetObjectByName
0x00A59FD0|NiAVObject::SetSelectiveUpdateFlags
0x00A5A140|NiAVObject::UpdateDownwardPass
0x00A5A430|NiAVObject::PreAttachUpdate
0x00A5A450|NiAVObject::SetMaterialNeedsUpdate
0x00A5D310|NiObject::ProcessClone
0x00A5D430|NiObject::RegisterStreamables
0x00A5D8A0|NiNode::SetAt2
0x00A5D8F0|NiNode::DetachChildAt2
0x00A5DB30|BGSDecalNode::AttachDecal
0x00A5DB30|BSSceneGraph::GetNearDistance
0x00A5DBE0|BSValueNode::ParseNameForValue
0x00A5DBE0|NiNode::AttachChild
0x00A5DC30|NiNode::InsertChildAt
0x00A5E690|NiNode::SetAt1
0x00A5E780|NiNode::DetachChildAt1
0x00A5ED10|NiNode::DetachChild1
0x00A5EDC0|NiNode::DetachChild2
0x00A5EE30|NiNode::UpdateUpwardPass
0x00A62660|NiTexture::GetTextureFormat
0x00A62670|NiTexture::GetTextureDimensionsAndMipInfo
0x00A66C00|NiGeometryData::AsTriStripsData
0x00A68C60|NiAVObject::UpdateRigidDownwardPass
0x00A6D450|NiTimeController::Stop
0x00A7FD90|NiGeometry::Unk_35
0x00A7FF60|NiGeometry::Unk_3A
0x00A80610|NiGeometry::Unk_37
0x00A80650|NiGeometry::Unk_38
0x00A80650|NiParticleSystem::UpdateSystem
0x00A80680|NiGeometry::SetGeometryData
0x00A80930|NiTriShape::Unk_3B
0x00A809B0|NiGeometry::Unk_36
0x00A89AF0|NiAVObject::PerformOp
0x00A89AF0|NiAVObject::UpdateControllers
0x00A89AF0|NiAVObject::UpdateSelectedDownwardPass
0x00A89AF0|hkpAction::GetPhantoms
0x00A89AF0|hkpConstraintOwner::AddConstraintToCriticalLockedIsland
0x00A89AF0|hkpConstraintOwner::RemoveConstraintFromCriticalLockedIsland
0x00A8F410|hkaAnimation::GetNumDataChunks
0x00A93EA0|BGSDecalNode::Unk_3E
0x00A93EA0|BSFaceGenNiNode::FixSkinInstances
0x00A93EA0|BSMultiBoundNode::GetMultiBoundRoom
0x00A93EA0|BSSceneGraph::GetFarDistance
0x00A964C0|NiParticlesData::CalculateNormals
0x00AA09D0|NiAccumulator::RegisterObjectArray
0x00AA09D0|NiInterpolator::GuaranteeTimeRange
0x00AA15F0|NiFile::size
0x00AA1A90|BSFile::seek
0x00AA4A50|AbstractHeap::DoHeapFree
0x00AA4A50|BSSaveDataSystemUtility::Unk_07
0x00AA7830|IMemoryHeap::TotalSize
0x00AA7E70|AbstractHeap::AllocateAlignImpl
0x00AAA0E0|AbstractHeap::TryAllocateImpl
0x00AAA310|AbstractHeap::GetName
0x00AAA650|AbstractHeap::DoHeapAllocation
0x00AAA650|AbstractHeap::GetPageSize
0x00AAA650|BSSaveDataSystemUtility::Unk_03
0x00ACBB70|Actor::Unk_C5
0x00ACBB70|Actor::Unk_C6
0x00ACBB70|BSMultiBoundNode::CheckBound2
0x00ACBB70|BSTempEffect::Attach
0x00ACBB70|ImageSpaceModifierInstance::Unk_25
0x00ACBB70|TESBoundObject::HandleRemoveItemFromContainer
0x00ACBB70|TESBoundObject::OnCheckModels
0x00ACBB70|TESForm::BelongsInGroup
0x00ACBB70|TESGrass::GetDistanceFromWaterLevel
0x00ACBB70|TESGrass::SetDistanceFromWaterLevel
