  VFUNC|0x006703B0|ActorValueInfo::vf011
  VFUNC|0x00401130|ActorValueInfo::vf012
  VFUNC|0x00483FC0|ActorValueInfo::vf013
  VFUNC|0x00484150|ActorValueInfo::vf014
  VFUNC|0x00484020|ActorValueInfo::vf015
  VFUNC|0x004867A0|ActorValueInfo::vf016
  VFUNC|0x004534F0|ActorValueInfo::vf017
  VFUNC|0x00484B60|ActorValueInfo::vf018
  VFUNC|0x00484BC0|ActorValueInfo::vf019
  VFUNC|0x00484BF0|ActorValueInfo::vf020
  VFUNC|0x00484D60|ActorValueInfo::vf021
  VFUNC|0x00484C20|ActorValueInfo::vf022
  VFUNC|0x00484DA0|ActorValueInfo::vf023
  VFUNC|0x00484C50|ActorValueInfo::vf024
  VFUNC|0x004534F0|ActorValueInfo::vf025
  VFUNC|0x008D0600|ActorValueInfo::vf026
  VFUNC|0x008D0600|ActorValueInfo::vf027
  VFUNC|0x004534F0|ActorValueInfo::vf028
  VFUNC|0x004534F0|ActorValueInfo::vf029
  VFUNC|0x004534F0|ActorValueInfo::vf030
  VFUNC|0x008D0370|ActorValueInfo::vf031
  VFUNC|0x004534F0|ActorValueInfo::vf032
  VFUNC|0x004534F0|ActorValueInfo::vf033
  VFUNC|0x00509F50|ActorValueInfo::vf034
  VFUNC|0x00401150|ActorValueInfo::vf035
  VFUNC|0x004868F0|ActorValueInfo::vf036
  VFUNC|0x00401190|ActorValueInfo::vf037
  VFUNC|0x00549580|ActorValueInfo::vf038
  VFUNC|0x004011B0|ActorValueInfo::vf039
  VFUNC|0x004011B0|ActorValueInfo::vf040
  VFUNC|0x004011D0|ActorValueInfo::vf041
  VFUNC|0x004011D0|ActorValueInfo::vf042
  VFUNC|0x004011F0|ActorValueInfo::vf043
  VFUNC|0x00401210|ActorValueInfo::vf044
  VFUNC|0x00401230|ActorValueInfo::vf045
  VFUNC|0x00401250|ActorValueInfo::vf046
  VFUNC|0x004849D0|ActorValueInfo::vf047
  VFUNC|0x00ACBB70|ActorValueInfo::vf048
  VFUNC|0x00484530|ActorValueInfo::vf049
  VFUNC|0x00484730|ActorValueInfo::vf050
  VFUNC|0x00484860|ActorValueInfo::vf051
  VFUNC|0x004848B0|ActorValueInfo::vf052
  VFUNC|0x00484900|ActorValueInfo::vf053
  VFUNC|0x00484950|ActorValueInfo::vf054
  VFUNC|0x00483710|ActorValueInfo::vf055
  VFUNC|0x004534F0|ActorValueInfo::vf056
  VFUNC|0x0047C850|ActorValueInfo::vf057
  VFUNC|0x0047C850|ActorValueInfo::vf058
  VFUNC|0x0047C850|ActorValueInfo::vf059
  VFUNC|0x0047C850|ActorValueInfo::vf060
  VFUNC|0x0047C850|ActorValueInfo::vf061
  VFUNC|0x0047C850|ActorValueInfo::vf062
  VFUNC|0x0047C850|ActorValueInfo::vf063
  VFUNC|0x0047C850|ActorValueInfo::vf064
  VFUNC|0x00ACBB70|ActorValueInfo::vf065
  VFUNC|0x00670430|ActorValueInfo::vf066
  VFUNC|0x00670540|ActorValueInfo::vf067
  VFUNC|0x004854E0|ActorValueInfo::vf068
  VFUNC|0x00485530|ActorValueInfo::vf069
  VFUNC|0x0047C850|ActorValueInfo::vf070
  VFUNC|0x0047C850|ActorValueInfo::vf071
  VFUNC|0x008D0370|ActorValueInfo::vf072
  VFUNC|0x00401270|ActorValueInfo::vf073
  VFUNC|0x00485C10|ActorValueInfo::vf074
  VFUNC|0x00401280|ActorValueInfo::vf075
  VFUNC|0x00401280|ActorValueInfo::vf076
  VFUNC|0x00401290|ActorValueInfo::vf077
VTABLE|0x01067A14|ActorValueInfo|4 vfuncs
  VFUNC|0x0048CE80|ActorValueInfo::vf000
  VFUNC|0x00483710|ActorValueInfo::vf001
  VFUNC|0x004870F0|ActorValueInfo::vf002
  VFUNC|0x00487140|ActorValueInfo::vf003
VTABLE|0x010679FC|ActorValueInfo|5 vfuncs
  VFUNC|0x00482C80|ActorValueInfo::vf000
  VFUNC|0x00483710|ActorValueInfo::vf001
  VFUNC|0x00482D80|ActorValueInfo::vf002
  VFUNC|0x00482DF0|ActorValueInfo::vf003
  VFUNC|0x00482E90|ActorValueInfo::vf004
VTABLE|0x010679DC|ActorValueInfo|7 vfuncs
  VFUNC|0x0048E340|ActorValueInfo::vf000
  VFUNC|0x00483710|ActorValueInfo::vf001
  VFUNC|0x0048E4A0|ActorValueInfo::vf002
  VFUNC|0x0048E4F0|ActorValueInfo::vf003
  VFUNC|0x00ACBB70|ActorValueInfo::vf004
  VFUNC|0x0048E580|ActorValueInfo::vf005
  VFUNC|0x0048E720|ActorValueInfo::vf006
VTABLE|0x01049450|ActorValueOwner|11 vfuncs
  VFUNC|0x008D0560|ActorValueOwner::vf000
  VFUNC|0x008D05F0|ActorValueOwner::vf001
  VFUNC|0x008D0560|ActorValueOwner::vf002
  VFUNC|0x008D05F0|ActorValueOwner::vf003
  VFUNC|0x008D05F0|ActorValueOwner::vf004
  VFUNC|0x008D05F0|ActorValueOwner::vf005
  VFUNC|0x008D05F0|ActorValueOwner::vf006
  VFUNC|0x005F73F0|ActorValueOwner::vf007
  VFUNC|0x005F7420|ActorValueOwner::vf008
  VFUNC|0x00ACBB70|ActorValueOwner::vf009
  VFUNC|0x00ACBB70|ActorValueOwner::vf010
VTABLE|0x010857C8|ActorsScriptTaskData|7 vfuncs
  VFUNC|0x008C9050|ActorsScriptTaskData::vf000
  VFUNC|0x008D0360|ActorsScriptTaskData::vf001
  VFUNC|0x008C8130|ActorsScriptTaskData::vf002
  VFUNC|0x00483710|ActorsScriptTaskData::vf003
  VFUNC|0x008C90A0|ActorsScriptTaskData::vf004
  VFUNC|0x008C9110|ActorsScriptTaskData::vf005
  VFUNC|0x008C90E0|ActorsScriptTaskData::vf006
VTABLE|0x01092BDC|AlarmPackage|88 vfuncs
  VFUNC|0x00483710|AlarmPackage::vf000
  VFUNC|0x00483710|AlarmPackage::vf001
  VFUNC|0x00485340|AlarmPackage::vf002
  VFUNC|0x004853E0|AlarmPackage::vf003
  VFUNC|0x009EC640|AlarmPackage::vf004
  VFUNC|0x006709D0|AlarmPackage::vf005
  VFUNC|0x00670A50|AlarmPackage::vf006
  VFUNC|0x008D0360|AlarmPackage::vf007
  VFUNC|0x00673A40|AlarmPackage::vf008
  VFUNC|0x00401290|AlarmPackage::vf009
  VFUNC|0x00483D20|AlarmPackage::vf010
  VFUNC|0x006738B0|AlarmPackage::vf011
  VFUNC|0x00401130|AlarmPackage::vf012
  VFUNC|0x00483FC0|AlarmPackage::vf013
  VFUNC|0x00484150|AlarmPackage::vf014
  VFUNC|0x00484020|AlarmPackage::vf015
  VFUNC|0x004867A0|AlarmPackage::vf016
  VFUNC|0x004534F0|AlarmPackage::vf017
  VFUNC|0x00484B60|AlarmPackage::vf018
