# constructor-candidate names: 0x<rva>|<Class::Class>|0x<vtable_va>
0x0004A7B0|?$LockFreeMap@PAVBSFileEntry::?$LockFreeMap@PAVBSFileEntry|0x0101765C
0x0004A970|?$LockFreeMap@PBDPAVLoadedFile::?$LockFreeMap@PBDPAVLoadedFile|0x010176AC
0x0004ABD0|LockFreeMapIterator@?$LockFreeMap@PBDPAVKFModel::LockFreeMapIterator@?$LockFreeMap@PBDPAVKFModel|0x010172AC
0x0004AC20|LockFreeMapIterator@?$LockFreeMap@PAVTESObjectREFR::LockFreeMapIterator@?$LockFreeMap@PAVTESObjectREFR|0x010172B8
0x0004B730|std::bad_alloc::bad_alloc|0x010176F8
0x0004B7DF|?$LockFreeQueue@V?$NiPointer@VQueuedReference::?$LockFreeQueue@V?$NiPointer@VQueuedReference|0x01017440
0x0004B841|InterfacedClass::InterfacedClass|0x01017458
0x0004B88A|?$LockFreeQueue@V?$NiPointer@VAttachDistant3DTask::?$LockFreeQueue@V?$NiPointer@VAttachDistant3DTask|0x01017464
0x0004BA10|?$LockFreeMap@PAVAnimIdle::?$LockFreeMap@PAVAnimIdle|0x010174CC
0x0004BA9F|?$LockFreeMap@PAVAnimation::?$LockFreeMap@PAVAnimation|0x0101751C
0x0004BB90|?$LockFreeMap@PAVTESObjectREFR::?$LockFreeMap@PAVTESObjectREFR|0x0101756C
0x0004BCD1|?$LockFreeMap@PAVBSFileEntry::?$LockFreeMap@PAVBSFileEntry|0x0101765C
0x0004BD60|std::bad_alloc::bad_alloc|0x010176F8
0x0004D4DB|?$SettingT@VINISettingCollection::?$SettingT@VINISettingCollection|0x01017720
0x0004D54D|?$SettingT@VINISettingCollection::?$SettingT@VINISettingCollection|0x01017720
0x0004D670|INISettingCollection::INISettingCollection|0x0101772C
0x0004D6C0|?$SettingCollectionList@VSetting::?$SettingCollectionList@VSetting|0x01017758
0x0004D740|?$SettingCollectionList@VSetting::?$SettingCollectionList@VSetting|0x01017758
0x0004DBC0|TES::TES|0x010178B4
0x0004E680|BSTempNodeManager::BSTempNodeManager|0x010178BC
0x0004EB51|TES::TES|0x010178B4
0x00054B90|BGSNote::BGSNote|0x01046850
0x00056F09|BSTempNode::BSTempNode|0x01017D24
0x00056F94|BSTempNode::BSTempNode|0x01017D24
0x0005AFB0|?$SettingT@VINISettingCollection::?$SettingT@VINISettingCollection|0x01017720
0x0005B020|Setting::Setting|0x01012120
0x0005B050|?$SettingT@VINISettingCollection::?$SettingT@VINISettingCollection|0x01017720
0x0005B257|RendererSettingCollection::RendererSettingCollection|0x01018508
0x000617B0|BGSNote::BGSNote|0x01046850
0x0006C152|BGSNote::BGSNote|0x01046850
0x0006DFE1|?$NiTArray@PAVTESObjectCELL::?$NiTArray@PAVTESObjectCELL|0x01019A14
0x0006E091|?$NiTArray@PAVBGSAddonNode::?$NiTArray@PAVBGSAddonNode|0x01019A24
0x0006E1AB|?$NiTLargeArray@PAVTESForm::?$NiTLargeArray@PAVTESForm|0x01019A34
0x0006E237|?$NiTLargePrimitiveArray@PAVTESForm::?$NiTLargePrimitiveArray@PAVTESForm|0x01019A3C
0x0006E501|?$NiTArray@PAVTESObjectCELL::?$NiTArray@PAVTESObjectCELL|0x01019A14
0x0006E57F|?$NiTArray@PAVBGSAddonNode::?$NiTArray@PAVBGSAddonNode|0x01019A24
0x0006E63B|?$NiTLargeArray@PAVTESForm::?$NiTLargeArray@PAVTESForm|0x01019A34
0x0006EF34|BGSNote::BGSNote|0x01046850
0x0006F310|BGSNote::BGSNote|0x01046850
0x000724C0|?$NiTPointerMap@IPAVTESFile::?$NiTPointerMap@IPAVTESFile|0x0101A324
0x000724F0|?$NiTMap@IPAVTESFile::?$NiTMap@IPAVTESFile|0x0101A344
0x000725CA|?$NiTMapBase@V?$NiTPointerAllocator@I::?$NiTMapBase@V?$NiTPointerAllocator@I|0x0101A364
0x00072620|?$NiTPointerMap@IPAVTESFile::?$NiTPointerMap@IPAVTESFile|0x0101A324
0x00072660|?$NiTMapBase@V?$NiTPointerAllocator@I::?$NiTMapBase@V?$NiTPointerAllocator@I|0x0101A364
0x000727D0|?$NiTPrimitiveArray@I::?$NiTPrimitiveArray@I|0x0101A3AC
0x0007297A|BGSAmmoForm::BGSAmmoForm|0x0101A3B8
0x00072DF1|BGSBipedModelList::BGSBipedModelList|0x0101A4C4
0x00073110|BGSClipRoundsForm::BGSClipRoundsForm|0x0101A644
0x0007338D|BGSDestructibleObjectForm::BGSDestructibleObjectForm|0x0101A6A0
