# JIP-LN-NVSE Address Mappings
# Format: 0xVA|name|source
0x01016904|VTABLE_BSStream|JIP-LN/internal\class_vtbls.h
0x0101698C|VTABLE_QueuedTreeBillboard|JIP-LN/internal\class_vtbls.h
0x010169D4|VTABLE_QueuedTreeModel|JIP-LN/internal\class_vtbls.h
0x01016A18|VTABLE_QueuedMagicItem|JIP-LN/internal\class_vtbls.h
0x01016A48|VTABLE_QueuedKF|JIP-LN/internal\class_vtbls.h
0x01016A80|VTABLE_QueuedAnimIdle|JIP-LN/internal\class_vtbls.h
0x01016AC0|VTABLE_QueuedReplacementKF|JIP-LN/internal\class_vtbls.h
0x01016B04|VTABLE_QueuedHead|JIP-LN/internal\class_vtbls.h
0x01016B4C|VTABLE_QueuedHelmet|JIP-LN/internal\class_vtbls.h
0x01016BA4|VTABLE_QueuedReference|JIP-LN/internal\class_vtbls.h
0x01016BEC|VTABLE_AttachDistant3DTask|JIP-LN/internal\class_vtbls.h
0x01016C10|VTABLE_IOTask|JIP-LN/internal\class_vtbls.h
0x01016C5C|VTABLE_QueuedTree|JIP-LN/internal\class_vtbls.h
0x01016CA4|VTABLE_QueuedActor|JIP-LN/internal\class_vtbls.h
0x01016CEC|VTABLE_QueuedCharacter|JIP-LN/internal\class_vtbls.h
0x01016D34|VTABLE_QueuedCreature|JIP-LN/internal\class_vtbls.h
0x01016D7C|VTABLE_QueuedPlayer|JIP-LN/internal\class_vtbls.h
0x01016DC4|VTABLE_QueuedFileLoad|JIP-LN/internal\class_vtbls.h
0x01016E1C|VTABLE_QueuedFaceGenFile|JIP-LN/internal\class_vtbls.h
0x01016E50|VTABLE_BackgroundCloneThread|JIP-LN/internal\class_vtbls.h
0x01016FC0|VTABLE_QueuedReplacementKFList|JIP-LN/internal\class_vtbls.h
0x01017458|VTABLE_InterfacedClass|JIP-LN/internal\class_vtbls.h
0x0101772C|VTABLE_INISettingCollection|JIP-LN/internal\class_vtbls.h
0x010178B4|VTABLE_TES|JIP-LN/internal\class_vtbls.h
0x010178BC|VTABLE_BSTempNodeManager|JIP-LN/internal\class_vtbls.h
0x01017D24|VTABLE_BSTempNode|JIP-LN/internal\class_vtbls.h
0x01018508|VTABLE_RendererSettingCollection|JIP-LN/internal\class_vtbls.h
0x0101A3B8|VTABLE_BGSAmmoForm|JIP-LN/internal\class_vtbls.h
0x0101A4C4|VTABLE_BGSBipedModelList|JIP-LN/internal\class_vtbls.h
0x0101A644|VTABLE_BGSClipRoundsForm|JIP-LN/internal\class_vtbls.h
0x0101A6A0|VTABLE_BGSDestructibleObjectForm|JIP-LN/internal\class_vtbls.h
0x0101AA14|VTABLE_BGSEquipType|JIP-LN/internal\class_vtbls.h
0x0101AA98|VTABLE_BGSIdleCollection|JIP-LN/internal\class_vtbls.h
0x0101AB58|VTABLE_BGSMessageIcon|JIP-LN/internal\class_vtbls.h
0x0101ABD8|VTABLE_BGSPickupPutdownSounds|JIP-LN/internal\class_vtbls.h
0x0101ADE8|VTABLE_BGSRepairItemList|JIP-LN/internal\class_vtbls.h
0x0101AEF0|VTABLE_BGSTouchSpellForm|JIP-LN/internal\class_vtbls.h
0x0101B0DC|VTABLE_TESActorBaseData|JIP-LN/internal\class_vtbls.h
0x0101BE98|VTABLE_TESAIForm|JIP-LN/internal\class_vtbls.h
0x0101BF50|VTABLE_TESAnimation|JIP-LN/internal\class_vtbls.h
0x0101BF68|VTABLE_TESAttackDamageForm|JIP-LN/internal\class_vtbls.h
0x0101BF84|VTABLE_TESAttributes|JIP-LN/internal\class_vtbls.h
0x0101BFD8|VTABLE_TESBipedModelForm|JIP-LN/internal\class_vtbls.h
0x0101BFEC|VTABLE_TESModelRDT|JIP-LN/internal\class_vtbls.h
