# global labels: 0x<pc_data_rva>|<qualified name>|votes|<mangled>
0x00DDAD80|sStatsLimbs|1|?sStatsLimbs@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDAD8C|sReputationButton|1|?sReputationButton@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDAF74|sTraitMenuTitleText|1|?sTraitMenuTitleText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDB0D4|sVatsTarget|1|?sVatsTarget@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDB1C0|iVATSConcentratedFireBonus|1|?iVATSConcentratedFireBonus@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDB2CC|fScanlineScalePipboy|1|?fScanlineScalePipboy@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDB2F0|fScrollKnobRate|1|?fScrollKnobRate@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDB608|fTermScreenLightBaseIntensity|1|?fTermScreenLightBaseIntensity@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDB63C|fRenderedTerminalHPos|1|?fRenderedTerminalHPos@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDB644|fTermScreenLightRadius|1|?fTermScreenLightRadius@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDB668|fTermScreenLightColorB|1|?fTermScreenLightColorB@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDCFA4|fAIGreetingTimer|1|?fAIGreetingTimer@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDDF38|fSecondsBetweenWindowUpdate|1|?fSecondsBetweenWindowUpdate@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDE134|sPressStart|1|?sPressStart@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDE45C|bDebugSaveBuffer|58|?bDebugSaveBuffer@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDE7B8|appCalendar|4|?appCalendar@@3VCalendar@@A
0x00DDEA0C|fXenonMenuMouseXYMult|1|?fXenonMenuMouseXYMult@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDEA10|uGridsToLoad|2|?uGridsToLoad@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDEA20|bUseSunbeams|1|?bUseSunbeams@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDEA3C|pVATS|15|?pVATS@@3VVATS@@A
0x00DDEEC0|iConsoleTextXPos|1|?iConsoleTextXPos@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDF69C|fINITurnSpeedScale|1|?fINITurnSpeedScale@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDF6EC|bDisplayTimersByThread|1|?bDisplayTimersByThread@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDF71C|ActorMovementUpdate|1|?ActorMovementUpdate@@3VBSPerformanceTimer@@A
0x00DDFB18|iAIThread1HWThread|1|?iAIThread1HWThread@@3V?$SettingT@VINISettingCollection@@@@A
0x00DE0780|sVATSMessageNoAmmo|1|?sVATSMessageNoAmmo@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DE07E0|fPlayerWeaponReloadTimer|1|?fPlayerWeaponReloadTimer@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DE094C|fDlgHeadingDegStart|1|?fDlgHeadingDegStart@@3V?$SettingT@VINISettingCollection@@@@A
0x00DE0A30|fKarmaModKillingVeryEvilActor|1|?fKarmaModKillingVeryEvilActor@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DE0BEC|iJoystickMoveLeftRight|1|?iJoystickMoveLeftRight@@3V?$SettingT@VINISettingCollection@@@@A
0x00DE0D3C|fDlgLookDegStart|1|?fDlgLookDegStart@@3V?$SettingT@VINISettingCollection@@@@A
0x00DE0D48|fDlgHeadingDegStop|1|?fDlgHeadingDegStop@@3V?$SettingT@VINISettingCollection@@@@A
0x00DE0E80|ReferenceProcessLists|12|?ReferenceProcessLists@@3VProcessLists@@A
0x00DF11E0|iSpeakSoundLipDistance|1|?iSpeakSoundLipDistance@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DF15B0|bDebugCombatGroups2|1|?bDebugCombatGroups2@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF1824|bDebugCombatUnreachableLocations|1|?bDebugCombatUnreachableLocations@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF1878|bDebugCombatGroups|1|?bDebugCombatGroups@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF20B8|bProjectileDebug|1|?bProjectileDebug@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF21B8|fVATSH2HWarpDistanceMult|1|?fVATSH2HWarpDistanceMult@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DF21CC|sVatsUnarmedAttackGround|1|?sVatsUnarmedAttackGround@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DF2250|iXPRewardDiscoverMapMarker|1|?iXPRewardDiscoverMapMarker@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DF3068|bCutDoors|2|?bCutDoors@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF3368|sDefaultTexAtlas|2|?sDefaultTexAtlas@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF36F8|pLastViewerStringsControllerManager|1|?pLastViewerStringsControllerManager@@3PAPAVNiControllerManager@@A
0x00DF426C|objToBone|1|?objToBone@@3PAW4BIPED_BONE@@A
0x00DF6238|fMinBloodDamage|1|?fMinBloodDamage@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF6394|fTabKnobMoveRate|1|?fTabKnobMoveRate@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF8B7C|std::cerr|1|?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A
0x00DF94FC|bDoTestHDR|14|?bDoTestHDR@@3V?$SettingT@VINISettingCollection@@@@A
0x00DF9F80|iMaxAnisotropy|1|?iMaxAnisotropy@@3V?$SettingT@VINISettingCollection@@@@A
0x00E00080|iRenderingThread2HWThread|1|?iRenderingThread2HWThread@@3V?$SettingT@VINISettingCollection@@@@A
0x00E015E8|sNoTalkUnConscious|1|?sNoTalkUnConscious@@3V?$SettingT@VGameSettingCollection@@@@A
0x00E02800|bAllowBinkSkipping|1|?bAllowBinkSkipping@@3V?$SettingT@VINISettingCollection@@@@A
0x00E02D98|bUseImageSpaceMenuFX|1|?bUseImageSpaceMenuFX@@3V?$SettingT@VINISettingCollection@@@@A
0x00E02DE8|uLightExcessGeometryBudgetCap|1|?uLightExcessGeometryBudgetCap@@3V?$SettingT@VINISettingCollection@@@@A
0x00E02FA0|bDebugCombatCoverReservationsText|1|?bDebugCombatCoverReservationsText@@3V?$SettingT@VINISettingCollection@@@@A
0x00E03150|fDialogZoomInSeconds|1|?fDialogZoomInSeconds@@3V?$SettingT@VGameSettingCollection@@@@A
0x00E05868|sEarningsText|4|?sEarningsText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00E16800|sCancel|2|?sCancel@@3V?$SettingT@VGameSettingCollection@@@@A
0x00E16804|fRadioStaticAtOuterRadiusPct|1|?fRadioStaticAtOuterRadiusPct@@3V?$SettingT@VINISettingCollection@@@@A
0x00E32068|sRepairSkillTooLow|1|?sRepairSkillTooLow@@3V?$SettingT@VGameSettingCollection@@@@A
0x00E5E904|fTermScreenLightColorR|1|?fTermScreenLightColorR@@3V?$SettingT@VINISettingCollection@@@@A
0x00E677D0|hkBaseSystemIsInitialized|1|?hkBaseSystemIsInitialized@@3VhkBool@@A
0x00E681FC|hkpEntityClass|1|?hkpEntityClass@@3VhkClass@@B
0x00E6835C|hkQuadReal0000|9|?hkQuadReal0000@@3U__vector4@@B
0x00E68360|hkQuadReal1111|13|?hkQuadReal1111@@3U__vector4@@B
0x00E68560|hkpPhysicsDataClass|1|?hkpPhysicsDataClass@@3VhkClass@@B
0x00E68808|hkpWorldObjectClass|1|?hkpWorldObjectClass@@3VhkClass@@B
0x00E68910|hkpShapeClass|2|?hkpShapeClass@@3VhkClass@@B
0x00E68940|hkpConvexShapeClass|2|?hkpConvexShapeClass@@3VhkClass@@B
0x00E6902C|hkpPhantomClass|3|?hkpPhantomClass@@3VhkClass@@B
0x00E69138|hkpWorldCinfoClass|1|?hkpWorldCinfoClass@@3VhkClass@@B
0x00E69198|hkpShapeCollectionClass|3|?hkpShapeCollectionClass@@3VhkClass@@B
0x00E69514|hkpSimulationClass|1|?hkpSimulationClass@@3VhkClass@@B
0x00E6ED90|hkClassMemberClass|1|?hkClassMemberClass@@3VhkClass@@B
0x00E6FD98|bDisableAllGore|1|?bDisableAllGore@@3V?$SettingT@VINISettingCollection@@@@A
0x00E90F08|hkReferencedObjectClass|1|?hkReferencedObjectClass@@3VhkClass@@B
0x00E90F10|hkxSparselyAnimatedEnumClass|1|?hkxSparselyAnimatedEnumClass@@3VhkClass@@B
0x00EC5FE8|fCrossSkillChance|1|?fCrossSkillChance@@3V?$SettingT@VGameSettingCollection@@@@A
0x00EC7868|iPlayerCustomClass|1|?iPlayerCustomClass@@3V?$SettingT@VGameSettingCollection@@@@A
0x00EC818C|iAnimationClonePerLoop|1|?iAnimationClonePerLoop@@3V?$SettingT@VINISettingCollection@@@@A
0x00EC8A84|AnimUpdate|1|?AnimUpdate@@3VBSPerformanceTimer@@A
0x00EC8A8C|pSoundPriorityBoneName|1|?pSoundPriorityBoneName@@3PAPADA
0x00EC908C|fAnimationMult|1|?fAnimationMult@@3V?$SettingT@VINISettingCollection@@@@A
0x00EEE884|pSphereVertices|1|?pSphereVertices@@3PAY02NA
0x00EEE8C8|fAIEscortWaitDistanceExterior|1|?fAIEscortWaitDistanceExterior@@3V?$SettingT@VGameSettingCollection@@@@A
0x00F0248C|fAutoAimMaxDegreesVATS|1|?fAutoAimMaxDegreesVATS@@3V?$SettingT@VGameSettingCollection@@@@A
0x00F14BE8|objectLabel|1|?objectLabel@@3PAPADA
0x00F161E8|objectID|1|?objectID@@3PAEA
0x00F175E8|bFileTestLoad|1|?bFileTestLoad@@3V?$SettingT@VINISettingCollection@@@@A
0x00F1E900|fVATSStrangerDistance|1|?fVATSStrangerDistance@@3V?$SettingT@VGameSettingCollection@@@@A
0x00F8E8C8|fAddictionUsageMonitorThreshold|1|?fAddictionUsageMonitorThreshold@@3V?$SettingT@VGameSettingCollection@@@@A
0x00F8E900|fCombatMinEngageDistance|1|?fCombatMinEngageDistance@@3V?$SettingT@VGameSettingCollection@@@@A
0x00F94620|hkVector4Util::hkAabbUint32MaxVal|1|?hkAabbUint32MaxVal@hkVector4Util@@3U__vector4@@A
0x00F9E900|bDisableNPCAttacks|1|?bDisableNPCAttacks@@3V?$SettingT@VINISettingCollection@@@@A
0x00FBE868|fAutoAimMaxDegreesMelee|1|?fAutoAimMaxDegreesMelee@@3V?$SettingT@VGameSettingCollection@@@@A
0x00FCE804|fSneakMaxDistance|1|?fSneakMaxDistance@@3V?$SettingT@VGameSettingCollection@@@@A
